Date,Open
08/06/2017,3.9786
08/07/2017,3.9786
08/08/2017,3.86
08/09/2017,3.72
08/10/2017,3.77
08/11/2017,3.68
08/12/2017,3.72
08/13/2017,3.72
08/14/2017,3.72
08/15/2017,3.68
08/16/2017,3.6499
08/17/2017,3.7
08/18/2017,3.62
08/19/2017,3.51
08/20/2017,3.51
08/21/2017,3.51
08/22/2017,3.55
08/23/2017,3.51
08/24/2017,3.6
08/25/2017,3.48
08/26/2017,3.55
08/27/2017,3.55
08/28/2017,3.55
08/29/2017,3.62
08/30/2017,3.61
08/31/2017,3.96
09/01/2017,3.85
09/02/2017,3.92
09/03/2017,3.92
09/04/2017,3.92
09/05/2017,3.92
09/06/2017,3.96
09/07/2017,3.9
09/08/2017,3.97
09/09/2017,3.8
09/10/2017,3.8
09/11/2017,3.8
09/12/2017,3.97
09/13/2017,4.13
09/14/2017,4.08
09/15/2017,4.25
09/16/2017,4.3
09/17/2017,4.3
09/18/2017,4.3
09/19/2017,4.6
09/20/2017,4.4
09/21/2017,4.29
09/22/2017,4.27
09/23/2017,4.11
09/24/2017,4.11
09/25/2017,4.11
09/26/2017,4.3
09/27/2017,4.4999
09/28/2017,4.98
09/29/2017,5.16
09/30/2017,6.445
10/01/2017,6.445
10/02/2017,6.445
10/03/2017,8.09
10/04/2017,8.18
10/05/2017,7.3
10/06/2017,7.4
10/07/2017,8.74
10/08/2017,8.74
10/09/2017,8.74
10/10/2017,8.75
10/11/2017,9.24
10/12/2017,8.2
10/13/2017,7.9
10/14/2017,7.55
10/15/2017,7.55
10/16/2017,7.55
10/17/2017,8.13
10/18/2017,7.67
10/19/2017,7.7892
10/20/2017,8.49
10/21/2017,8.75
10/22/2017,8.75
10/23/2017,8.75
10/24/2017,7.9
10/25/2017,7.2
10/26/2017,7.26
10/27/2017,6.91
10/28/2017,7.05
10/29/2017,7.05
10/30/2017,7.05
10/31/2017,6.8
11/01/2017,6.95
11/02/2017,6.96
11/03/2017,6.75
11/04/2017,7.64
11/05/2017,7.64
11/06/2017,7.64
11/07/2017,8.3
11/08/2017,7.78
11/09/2017,7.5
11/10/2017,7.16
