Date,Close/Last,Volume,Open,High,Low
02/11/2022,18.37,10814830,$19.3,$20.08,$18.09
02/10/2022,19.27,14023050,$18.93,$20.83,$18.89
02/09/2022,19.65,10223470,$18.63,$19.67,$18.19
02/08/2022,18.29,10474540,$17.523,$18.41,$17.2
02/07/2022,17.7,17911450,$17.71,$18.535,$17.31
02/04/2022,16.57,15549190,$15.11,$16.89,$14.71
02/03/2022,14.79,8051605,$14.84,$15.66,$14.64
02/02/2022,15.57,8767237,$16.444,$16.73,$15.065
02/01/2022,16.69,9899994,$16.56,$16.99,$15.67
01/31/2022,15.94,10073370,$14.905,$16.17,$14.65
01/28/2022,14.7,11342340,$13.65,$14.785,$13.12
01/27/2022,13.45,11443850,$14.4,$14.57,$13.21
01/26/2022,14.33,15108580,$15.856,$16.1,$14.07
01/25/2022,14.64,10972480,$14.479,$15.2,$14.04
01/24/2022,15.13,23238090,$13.48,$15.1688,$12.9
01/21/2022,14.995,17283660,$16.3,$16.96,$14.9
01/20/2022,17.47,8606305,$18.01,$19.14,$17.43
01/19/2022,17.49,8711989,$19.01,$19.295,$17.4
01/18/2022,18.7,8612805,$19.675,$20.1899,$18.61
01/14/2022,20.68,6676436,$19.86,$20.84,$19.72
01/13/2022,20.15,8280916,$21.745,$21.98,$20.03
01/12/2022,21.13,9560988,$21.716,$22.1,$20.7
01/11/2022,20.86,9509864,$19.91,$21.35,$19.595
01/10/2022,20.09,9888276,$19.31,$20.465,$18.75
01/07/2022,20.36,11922030,$19.985,$21.0564,$19.45
01/06/2022,20.48,11418290,$21.165,$21.61,$19.595
01/05/2022,21.44,13214470,$23.77,$24.2,$21.19
01/04/2022,24.38,11870020,$23.3,$24.625,$23.02
01/03/2022,22.74,7246310,$22.45,$23.1399,$21.9032
12/31/2021,22.33,8680598,$23.53,$23.95,$22.31
12/30/2021,23.5,8721634,$22.82,$24.3799,$22.62
12/29/2021,23,7342333,$23.13,$23.89,$22.55
12/28/2021,23.65,9570869,$24.76,$24.94,$23.26
12/27/2021,25.85,9713741,$25.89,$26.79,$25.42
12/23/2021,25.67,13639460,$23.5747,$26.18,$22.9576
12/22/2021,23.62,7726193,$23.76,$24.85,$23.32
12/21/2021,24.05,8805353,$23.45,$24.3,$23.02
12/20/2021,22.52,10172340,$22.36,$23.06,$21.71
12/17/2021,23.24,13789350,$23.36,$24.0487,$21.82
12/16/2021,23.88,11068190,$25.82,$26.28,$23.3118
12/15/2021,25.87,14907580,$24.68,$26.5115,$23.04
12/14/2021,24.93,9702208,$23.8,$25.4774,$23.6
12/13/2021,24.37,11565880,$25.56,$25.59,$23.95
12/10/2021,26,10045610,$27.205,$27.53,$25.35
12/09/2021,26.5,13750850,$28.692,$28.8,$26.4
12/08/2021,29.34,10704210,$29.59,$30.25,$28.72
12/07/2021,29.68,13153630,$29.898,$30.67,$29.02
12/06/2021,28.14,20225290,$26.47,$29.37,$25
12/03/2021,28.64,24201300,$33.55,$34.1,$27.8
12/02/2021,32.97,19444890,$34.98,$36.5713,$31.61
12/01/2021,35.6,22588640,$38.61,$40.95,$35.18
11/30/2021,37.37,22146600,$37.86,$40.08,$35.5077
11/29/2021,37.37,16308270,$36.33,$38.06,$33.6669
11/26/2021,34.92,8234573,$34.8,$36.4,$34.35
11/24/2021,37,11818410,$34.41,$37.1444,$33.62
11/23/2021,36.13,13270020,$33.81,$36.17,$33.36
11/22/2021,33.45,16233150,$36.54,$37.02,$32.55
11/19/2021,36.18,14420700,$34.0426,$36.8,$33.8574
11/18/2021,33.63,18520100,$34.445,$35.17,$31.42
11/17/2021,35.28,15912630,$37.6,$38.3251,$34.87
11/16/2021,36.9,27773850,$36.4,$39.33,$35.15
11/15/2021,42.09,28541570,$45.94,$46.28,$41.08
11/12/2021,44.19,23594830,$39.69,$44.29,$37.78
11/11/2021,39.53,13000430,$37.491,$39.8,$37.16
11/10/2021,36.49,28296280,$41.13,$41.76,$35.8008
11/09/2021,39.86,29118920,$41.1,$42.8399,$37.08
11/08/2021,36.69,27320270,$33.955,$37.75,$33.77
11/05/2021,31.49,8936258,$33.05,$33.3,$31.21
11/04/2021,32.72,15392390,$32.7,$34.2,$31.95
11/03/2021,32.76,16720160,$31.07,$32.98,$29.79
11/02/2021,31.9,22518560,$28.914,$31.98,$28.6701
11/01/2021,28.09,10537250,$27.315,$28.76,$27.01
10/29/2021,27.22,9420697,$27.42,$28.2041,$26.81
10/28/2021,27.54,8482614,$27.52,$28.01,$26.32
10/27/2021,26.59,9726386,$27.46,$27.79,$26.45
10/26/2021,28.44,8672561,$29.45,$29.52,$28.1802
10/25/2021,29.59,11337080,$29.12,$30.4244,$28.86
10/22/2021,28.28,10903380,$29.03,$29.43,$27.57
10/21/2021,29.44,15225630,$31.29,$32.05,$29.1
10/20/2021,31.44,21216220,$30.95,$32.83,$30.4001
10/19/2021,30.83,26639530,$30.597,$31.8,$29.06
10/18/2021,29.8,22704090,$27.815,$30.98,$27.72
10/15/2021,27.85,28983590,$27.48,$28.58,$26.68
10/14/2021,26.12,9822130,$26,$26.39,$25.42
10/13/2021,25.64,10188030,$25.45,$26.3,$24.63
10/12/2021,25.51,12790220,$27.43,$27.55,$25.15
10/11/2021,27.63,16105930,$26.21,$28.9,$26.06
10/08/2021,25.83,8259192,$26.48,$26.74,$25.68
10/07/2021,26.12,9209320,$26.3,$26.66,$25.58
10/06/2021,26.61,16411890,$27.33,$28.09,$26.34
10/05/2021,26.34,10643890,$25.5,$26.56,$25.17
10/04/2021,25.25,8385437,$25.943,$25.97,$24.35
10/01/2021,26.1,9501517,$27.2,$27.31,$25.74
09/30/2021,25.7,6539362,$25.46,$26.33,$25.3
09/29/2021,24.87,5357891,$26.06,$26.2023,$24.82
09/28/2021,25.78,6684965,$27.4,$27.78,$25.68
09/27/2021,27.77,6440927,$27.84,$28.45,$27.18
09/24/2021,27.93,7881464,$27.656,$28.54,$27.17
09/23/2021,29.39,6239127,$28.87,$29.5,$28.44
09/22/2021,28.73,6236981,$27.482,$29.0682,$27.11
09/21/2021,27.36,6340357,$27.8,$27.874,$26.94
09/20/2021,27.53,10260880,$27.25,$28.39,$26.8712
09/17/2021,29.3,6795645,$29.294,$29.7399,$28.8
09/16/2021,29.37,7185741,$30.1,$30.36,$29.08
09/15/2021,30.33,9600062,$29.72,$30.52,$29.04
09/14/2021,28.84,7461811,$30.06,$30.33,$28.69
09/13/2021,29.3,10625160,$29.3,$30.52,$28.8801
09/10/2021,29.62,9129976,$31.25,$31.72,$29.46
09/09/2021,31.35,8909250,$31.12,$31.97,$30.8
09/08/2021,30.385,8526842,$32.08,$32.32,$30.26
09/07/2021,32.11,17896420,$34.172,$34.7,$30.91
09/03/2021,34.43,17027650,$36.52,$37.32,$34.1846
09/02/2021,35.96,16685280,$37.82,$38.29,$35.91
09/01/2021,36.5,15357400,$37.44,$38.7095,$36.28
08/31/2021,37.32,7035316,$37.489,$37.99,$36.54
08/30/2021,37.7,7975601,$37.8,$38.4456,$36.7004
08/27/2021,38.57,12115330,$36.537,$39.35,$36.35
08/26/2021,36.28,6640416,$37.195,$38.06,$35.822
08/25/2021,37.72,12404570,$36.85,$38.74,$36.65
08/24/2021,37.63,11224150,$36.066,$37.63,$34.85
08/23/2021,35.73,11981390,$36.68,$37.3,$35.04
08/20/2021,34.33,11635880,$32.71,$35.28,$32.6354
08/19/2021,32.08,9289840,$31.26,$32.73,$30.8601
08/18/2021,31.89,7315810,$32.48,$33.84,$31.79
08/17/2021,32.76,7874576,$35.395,$35.8,$32.41
08/16/2021,35.83,7527709,$36.17,$36.97,$34.6093
08/13/2021,35.81,9797004,$38.09,$38.82,$35.65
08/12/2021,36.83,7284606,$35.89,$37.6701,$34.7
08/11/2021,37.76,14019120,$39.427,$40.8,$37.2
08/10/2021,38.49,12301880,$38.17,$39.0405,$36.59
08/09/2021,37.83,24700590,$37.085,$39.95,$36.52
08/06/2021,34.97,11749480,$33.62,$35.76,$32.81
08/05/2021,33.59,10273800,$31.8,$34.28,$30.85
08/04/2021,32.71,9251090,$32,$33.8,$31.75
08/03/2021,31.48,8041859,$32.79,$33.0999,$30.79
08/02/2021,33.45,11575920,$32.92,$35.39,$32.43
07/30/2021,32.95,5497252,$31.66,$33.1,$31.35
07/29/2021,31.9,7116203,$32.94,$34.02,$31.88
07/28/2021,32.96,8729122,$33.1,$33.89,$32.02
07/27/2021,31.64,8746227,$32.64,$33.65,$30.4701
07/26/2021,34,23666940,$32.5,$34.72,$31.7
07/23/2021,28.1,7639671,$28.877,$29.75,$27.05
07/22/2021,28.87,7155457,$29.17,$29.44,$27.72
07/21/2021,29.16,11923060,$27.8,$29.91,$27.61
07/20/2021,25.85,6995492,$25.37,$26.32,$23.93
07/19/2021,25.96,6156008,$25.99,$26.87,$25.57
07/16/2021,27.28,4685489,$28.4,$28.75,$27.16
07/15/2021,28.22,4710476,$27.849,$29.36,$27.36
07/14/2021,28.59,5016881,$30.634,$30.73,$28.51
07/13/2021,30.06,4132921,$31.4,$31.5,$30.0201
07/12/2021,31.4,5351139,$33.01,$33.11,$30.84
07/09/2021,32.83,5794639,$33.98,$34.49,$32.6524
07/08/2021,33.72,5669550,$33.54,$34.24,$32.38
07/07/2021,35.44,5920294,$35.76,$36.95,$34.96
07/06/2021,35.43,6065851,$36.98,$37.2799,$34.53
07/02/2021,36.23,4642458,$36.5,$37.08,$35.91
07/01/2021,36.21,6563290,$37.23,$37.65,$35.8
06/30/2021,37.67,8321170,$36.63,$38.22,$35.76
06/29/2021,37.81,14903750,$38,$40.34,$37.1255
06/28/2021,36.18,11326680,$34.11,$36.585,$33.41
06/25/2021,32.97,18800890,$33,$33.61,$32.38
06/24/2021,34.02,9375429,$33.11,$34.1499,$32.85
06/23/2021,32.48,10016820,$33.95,$34.62,$32.32
06/22/2021,32.23,17705220,$29.38,$32.5,$28.4
06/21/2021,31.57,11017930,$30.38,$32.0499,$30.005
06/18/2021,32.18,10785840,$33.6594,$34.2795,$31.68
06/17/2021,34.3,10132190,$34,$35.92,$33.75
06/16/2021,34.2,10166400,$33.922,$35.12,$33.21
06/15/2021,35.06,12984930,$36.06,$36.67,$33.81
06/14/2021,35.4,25488970,$34.01,$38.08,$33.38
06/11/2021,31.03,8444021,$31.198,$31.87,$30.14
06/10/2021,31.64,14163460,$31.77,$32.69,$30.41
06/09/2021,31.41,21515690,$28.63,$33.09,$28.3501
06/08/2021,28.06,13799470,$27.38,$28.43,$25.2901
06/07/2021,28.82,8729932,$29.227,$29.49,$27.9
06/04/2021,29.15,9402455,$27.96,$29.18,$27.6
06/03/2021,28.28,11061760,$30.477,$30.52,$28.01
06/02/2021,30.03,14458580,$30.28,$31.0599,$29.1
06/01/2021,29.23,14647720,$27.1,$29.87,$27.06
05/28/2021,27.13,13679840,$27.401,$28.72,$26.73
05/27/2021,28.5,23524240,$28.85,$29.6,$27.28
05/26/2021,27.64,28262440,$26.68,$28.63,$26.03
05/25/2021,25.14,16489510,$24.98,$25.86,$24.35
05/24/2021,25.95,22951140,$23.45,$26.3,$22.77
05/21/2021,22.84,24553770,$24.45,$25.46,$22.46
05/20/2021,24.18,24949520,$26.07,$26.5784,$23.1263
05/19/2021,24.14,41600080,$21.95,$24.38,$21.61
05/18/2021,25.56,24456870,$23.2,$26.8,$23.12
05/17/2021,24.31,19652800,$23.4,$24.52,$22.52
05/14/2021,26.02,22633660,$24.05,$26.8,$23.63
05/13/2021,22.23,36110500,$24.91,$26.95,$20.6801
05/12/2021,26.52,15277550,$28.254,$29.6,$26.08
05/11/2021,29.87,19802840,$25.99,$30.8,$25.65
05/10/2021,29.95,15802820,$33.33,$33.4,$29.88
05/07/2021,33.39,11020940,$33.8,$35.52,$32.62
05/06/2021,33.45,14595140,$36.39,$36.6494,$32
05/05/2021,36.62,12083470,$38.16,$39.11,$36
05/04/2021,37.57,15015600,$38.604,$39,$35.1
05/03/2021,39.99,14120730,$42.88,$44.1,$39.32
04/30/2021,41.83,15422820,$40.81,$43.38,$40.45
04/29/2021,40.33,12765250,$41.95,$42.73,$39.42
04/28/2021,43.93,15088660,$40.18,$44.155,$39.41
04/27/2021,40.52,13779310,$41.65,$41.83,$39.8207
04/26/2021,40.89,19234300,$41.272,$42.1612,$39.55
04/23/2021,38.48,25879720,$34.09,$38.91,$33.37
04/22/2021,36.49,27895060,$40.58,$42.2099,$36.37
04/21/2021,41.31,26801740,$36.99,$42.07,$36.06
04/20/2021,38.56,29240870,$40.54,$41.1,$35.71
04/19/2021,40.9,28356430,$40.35,$43.31,$38.71
04/16/2021,44.64,24637470,$45.01,$47.56,$42.8
04/15/2021,48.11,39017150,$50.87,$52.42,$43.29
04/14/2021,50.16,52949230,$60.797,$61.55,$49.3
04/13/2021,59.26,42774270,$56.44,$59.96,$52.86
04/12/2021,51.53,23779380,$52.5,$55.7869,$50.62
04/09/2021,49.63,13678590,$50.48,$51.6,$47.76
04/08/2021,49.55,13416220,$50.52,$51.8899,$49.35
04/07/2021,48.37,16833140,$50.522,$53.025,$47.7
04/06/2021,54.1,15194780,$56,$56.3599,$52.3063
04/05/2021,56.9,18908720,$52.107,$57.85,$50.39
04/01/2021,52.03,15058040,$54.75,$56.8235,$51.12
03/31/2021,53.27,21061700,$50.73,$54.58,$49.41
03/30/2021,51.51,18358730,$48.83,$52.1894,$47.42
03/29/2021,47.89,17849770,$51.51,$52.75,$47.3
03/26/2021,48.22,15141590,$49.41,$49.8,$45.85
03/25/2021,48.17,26951370,$39.38,$49.29,$39.13
03/24/2021,45.71,20265120,$54.36,$55.71,$45
03/23/2021,50.12,18373720,$54.91,$57.44,$50.01
03/22/2021,56.01,17993730,$59.95,$60.69,$55.17
03/19/2021,60.65,18072840,$61.03,$63.7,$59.5
03/18/2021,60.19,28855880,$63,$67.85,$59.15
03/17/2021,64.74,26146190,$54.8,$65.159,$53.4
03/16/2021,56.98,18223100,$62,$62.17,$55.7
03/15/2021,63.43,22488730,$62.78,$67.66,$62.7107
03/12/2021,62.81,26820460,$58.1,$65.75,$57.7
03/11/2021,63.31,29031950,$57.96,$63.6946,$56.72
03/10/2021,56.5,35830640,$57.5,$59.33,$52.8
03/09/2021,52.16,36308270,$43.95,$54,$43.72
03/08/2021,38.98,17403020,$42.2,$43.65,$37.62
03/05/2021,40.3,27668290,$44.99,$45.25,$34.25
03/04/2021,44.29,20168780,$47.4,$49,$41.33
03/03/2021,49.57,21775370,$55.14,$55.2803,$48.6
03/02/2021,49.1,23546280,$57,$57.02,$48.5
03/01/2021,53.6,26614510,$49.04,$53.81,$46.58
02/26/2021,43.74,23843620,$41.99,$47.75,$40.55
02/25/2021,45.67,23574610,$54.33,$55.89,$45.22
02/24/2021,52.27,33336870,$53.41,$56.46,$50.86
02/23/2021,48.8,52317030,$53.7,$56.89,$45.02
02/22/2021,64.76,52489460,$61,$69.45,$59.7
02/19/2021,71.33,75047070,$68.8,$77.82,$67.42
02/18/2021,62.03,86796140,$72.76,$78.75,$58.77
02/17/2021,77.9,72578480,$67.84,$79.5,$61.7003
02/16/2021,59.5,43863930,$55.045,$61.2685,$54.35
02/12/2021,49.28,48423860,$46.14,$52.73,$43.66
02/11/2021,43.09,39870510,$42.3549,$46.64,$40.8301
02/10/2021,36.56,27942700,$37.04,$39.74,$32.25
02/09/2021,39.86,53085090,$35.56,$41.88,$33.23
02/08/2021,32.79,52243980,$27.3,$32.9,$25.9
02/05/2021,23.38,12295600,$23.58,$24.3875,$22.93
02/04/2021,23.08,12936740,$23.47,$23.5,$21.42
02/03/2021,22.85,18199940,$22.14,$23.64,$21.72
02/02/2021,21.49,15361840,$20.56,$22.18,$19.62
02/01/2021,19.98,13088890,$20.17,$20.48,$18.69
01/29/2021,20.52,26696140,$24.5,$24.7351,$19.66
01/28/2021,19.93,26695000,$18.39,$22.41,$17.75
01/27/2021,17.93,13308790,$17.79,$18.93,$16.75
01/26/2021,19.32,14084380,$18.98,$20.3,$18.37
01/25/2021,19.67,19272000,$22.01,$22.25,$19.16
01/22/2021,20.97,30545080,$20.3,$22.5,$20.28
01/21/2021,19.35,38293040,$19.37,$20.47,$17.9
01/20/2021,22.28,26544460,$24.28,$24.28,$20.7
01/19/2021,25.2,20272300,$26.7,$27.1954,$24.75
01/15/2021,25.78,28732180,$27,$27.15,$24.51
01/14/2021,28.9,37560980,$25.9,$29.28,$25.56
01/13/2021,23.88,24905720,$23.65,$25.0794,$22.52
01/12/2021,24.21,29022140,$23.28,$24.91,$22.0822
01/11/2021,22.64,55243830,$21,$24,$20.26
01/08/2021,26.59,57499660,$24.77,$27.39,$23.59
01/07/2021,22.72,59358050,$20.84,$24.7,$19.8701
01/06/2021,19.28,40860400,$18.89,$20.68,$18.12
01/05/2021,18.41,28099780,$15.75,$18.65,$15.35
01/04/2021,16.48,32293630,$18.8,$19.23,$15.85
12/31/2020,16.99,39818150,$17.48,$18.6689,$16.42
12/30/2020,17.26,42958130,$16.99,$18.16,$16.43
12/29/2020,15.79,23106640,$15.5,$16.45,$14.19
12/28/2020,15.65,44305760,$15.45,$17.43,$14.71
12/24/2020,13.12,15979960,$14.07,$14.96,$12.8
12/23/2020,13.91,32496230,$14.96,$15.01,$13.31
12/22/2020,14.645,70429670,$11.92,$15.7,$11.63
12/21/2020,11.04,24335610,$9.89,$11.32,$9.75
12/18/2020,10.05,27783370,$9.95,$10.59,$9.65
12/17/2020,10.395,47489450,$11.645,$11.85,$10.28
12/16/2020,10.76,51278730,$11.25,$11.66,$10.53
12/15/2020,10.18,24809370,$9.25,$10.2999,$9.1
12/14/2020,9.14,17807830,$9.26,$9.89,$8.9
12/11/2020,8.66,10823800,$9,$9.27,$8.44
12/10/2020,9.34,12211540,$8.47,$9.59,$8.46
12/09/2020,8.85,16849800,$9.82,$10.0901,$8.36
12/08/2020,9.87,17488530,$10.7,$10.92,$9.3828
12/07/2020,10.63,27428870,$9.54,$11.29,$9.5
12/04/2020,10,32322240,$9.404,$10.59,$9.11
12/03/2020,9.66,29297460,$8.81,$10.14,$8.5
12/02/2020,8.51,14162440,$8.42,$8.54,$7.8
12/01/2020,8.81,28960200,$8.17,$9.09,$7.81
11/30/2020,8.45,46491830,$7.09,$8.48,$6.9
11/27/2020,6.25,13230050,$6.15,$6.61,$6.01
11/25/2020,7.08,17377810,$7.09,$7.58,$6.84
11/24/2020,6.81,28281000,$7.59,$7.6,$6.46
11/23/2020,7.23,39777790,$6.32,$7.38,$6.19
11/20/2020,5.995,34199630,$6.17,$6.56,$5.83
11/19/2020,6,22024620,$5.46,$6,$5.41
11/18/2020,5.25,48455910,$6.39,$6.44,$5.05
11/17/2020,6.085,82187030,$4.236,$6.29,$4.07
11/16/2020,4.1,11278290,$4.02,$4.1696,$3.81
11/13/2020,3.98,11358500,$3.77,$4.12,$3.595
11/12/2020,3.7,5261240,$3.765,$3.81,$3.54
11/11/2020,3.6,7266692,$3.501,$3.76,$3.415
11/10/2020,3.45,3934332,$3.447,$3.48,$3.2
11/09/2020,3.5,5480289,$3.51,$3.62,$3.33
11/06/2020,3.65,5328905,$3.82,$3.82,$3.61
11/05/2020,3.75,11977220,$3.83,$3.98,$3.66
11/04/2020,3.55,7842078,$3.59,$3.73,$3.38
11/03/2020,3.5,5559642,$3.35,$3.59,$3.2982
11/02/2020,3.29,3253474,$3.26,$3.39,$3.14
10/30/2020,3.27,6940118,$3.48,$3.54,$3.18
10/29/2020,3.55,4609848,$3.5,$3.73,$3.44
10/28/2020,3.5,8592439,$3.71,$3.83,$3.36
10/27/2020,4.02,10807140,$4.03,$4.16,$3.86
10/26/2020,3.85,6772341,$3.98,$4.03,$3.61
10/23/2020,3.91,7305408,$3.97,$4.01,$3.68
10/22/2020,4.055,15856070,$4.18,$4.26,$3.83
10/21/2020,3.98,18072940,$3.93,$4.14,$3.76
10/20/2020,3.54,13717640,$3.45,$3.77,$3.41
10/19/2020,3.3,8909431,$3.32,$3.55,$3.25
10/16/2020,3.11,4218158,$3.37,$3.37,$3.11
10/15/2020,3.4,3611694,$3.1758,$3.47,$3.0757
10/14/2020,3.28,4023857,$3.33,$3.49,$3.21
10/13/2020,3.37,5209333,$3.467,$3.47,$3.22
10/12/2020,3.5,12692080,$3.22,$3.65,$3.16
10/09/2020,3.095,6530972,$3.15,$3.15,$2.96
10/08/2020,2.93,9775065,$2.77,$3.0899,$2.72
10/07/2020,2.66,2148065,$2.57,$2.66,$2.5473
10/06/2020,2.57,2444310,$2.66,$2.67,$2.53
10/05/2020,2.66,2047474,$2.63,$2.68,$2.57
10/02/2020,2.6,2138329,$2.53,$2.61,$2.5
10/01/2020,2.65,1740133,$2.71,$2.74,$2.62
09/30/2020,2.7,1901494,$2.73,$2.7567,$2.63
09/29/2020,2.76,2004134,$2.7,$2.78,$2.66
09/28/2020,2.74,3243351,$2.79,$2.81,$2.66
09/25/2020,2.68,3685847,$2.66,$2.78,$2.6
09/24/2020,2.69,4218775,$2.55,$2.77,$2.35
09/23/2020,2.6,4315443,$2.9,$2.92,$2.6
09/22/2020,2.93,2511286,$2.95,$2.96,$2.835
09/21/2020,2.93,3625482,$2.85,$3.03,$2.75
09/18/2020,3.05,3944331,$3.03,$3.06,$2.88
09/17/2020,3,2852433,$2.92,$3.06,$2.9
09/16/2020,3.05,6396200,$3.02,$3.28,$2.96
09/15/2020,3,2856058,$3.11,$3.13,$2.95
09/14/2020,3.02,4284448,$3.0683,$3.12,$2.8737
09/11/2020,2.91,2951042,$2.87,$2.9699,$2.75
09/10/2020,2.81,4480874,$3.01,$3.2,$2.78
09/09/2020,2.95,3976614,$2.88,$3.09,$2.88
09/08/2020,2.82,4434856,$2.84,$3.02,$2.63
09/04/2020,3.11,8056210,$3.08,$3.2,$2.54
09/03/2020,3.16,5900052,$3.1,$3.29,$3.06
09/02/2020,3.43,5030501,$3.51,$3.52,$3.3
09/01/2020,3.75,8504924,$3.52,$3.88,$3.42
08/31/2020,3.5,4588168,$3.66,$3.7,$3.35
08/28/2020,3.59,8666355,$3.23,$3.65,$3.21
08/27/2020,3.27,4789737,$3.46,$3.5,$3.15
08/26/2020,3.41,3852013,$3.4,$3.56,$3.35
08/25/2020,3.58,7397563,$3.41,$3.6,$3.18
08/24/2020,3.63,4019428,$3.78,$3.79,$3.52
08/21/2020,3.725,5926118,$3.82,$3.94,$3.67
08/20/2020,3.99,7506701,$3.73,$4.05,$3.71
08/19/2020,3.69,8062903,$3.87,$4.06,$3.63
08/18/2020,4.04,9456021,$4,$4.2,$3.91
08/17/2020,4.15,21029450,$3.95,$4.41,$3.77
08/14/2020,3.78,10691470,$3.67,$3.84,$3.39
08/13/2020,3.61,11009380,$3.42,$3.75,$3.05
08/12/2020,3.54,5697509,$3.75,$3.83,$3.5
08/11/2020,3.62,10213610,$3.78,$4.04,$3.54
08/10/2020,4.13,12385980,$4.255,$4.28,$4
08/07/2020,3.77,14748740,$4.12,$4.15,$3.51
08/06/2020,4.25,27230980,$4.37,$4.58,$4.02
08/05/2020,4.01,39855530,$4.07,$4.45,$3.83
08/04/2020,3.4,14269770,$3.2,$3.67,$3.03
08/03/2020,3.5,58695570,$2.9,$4,$2.75
07/31/2020,2.64,14558790,$2.6,$2.8,$2.43
07/30/2020,2.55,10283740,$2.561,$2.66,$2.36
07/29/2020,2.75,15147370,$2.88,$2.91,$2.7
07/28/2020,2.77,43346250,$2.87,$3.2,$2.66
07/27/2020,2.64,52558850,$2.62,$3.08,$2.47
07/24/2020,2.22,8569246,$2.25,$2.285,$2.06
07/23/2020,2.29,7573474,$2.4,$2.45,$2.23
07/22/2020,2.34,5382463,$2.3,$2.37,$2.24
07/21/2020,2.3,3807897,$2.35,$2.37,$2.25
07/20/2020,2.26,2079884,$2.22,$2.27,$2.15
07/17/2020,2.23,1595126,$2.25,$2.26,$2.18
07/16/2020,2.22,1761641,$2.2,$2.23,$2.16
07/15/2020,2.26,1526587,$2.27,$2.28,$2.18
07/14/2020,2.25,1919500,$2.15,$2.25,$2.09
07/13/2020,2.18,3641190,$2.34,$2.3763,$2.16
07/10/2020,2.33,1765923,$2.3,$2.39,$2.25
07/09/2020,2.34,5068611,$2.59,$2.6,$2.26
07/08/2020,2.54,9039503,$2.33,$2.58,$2.3082
07/07/2020,2.29,2244038,$2.38,$2.3854,$2.23
07/06/2020,2.38,4540752,$2.35,$2.49,$2.31
07/02/2020,2.29,3108697,$2.38,$2.385,$2.19
07/01/2020,2.34,3538328,$2.21,$2.41,$2.21
06/30/2020,2.22,3369017,$2.1,$2.36,$2.08
