"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 19, 2021","592.21","616.49","621.29","580.00","1.04M","2.45%"
"Jan 15, 2021","578.07","607.10","622.84","574.00","1.61M","-8.39%"
"Jan 14, 2021","631.00","549.85","631.60","538.77","1.91M","21.52%"
"Jan 13, 2021","519.26","504.00","523.07","493.00","617.46K","0.98%"
"Jan 12, 2021","514.24","499.99","518.49","489.00","671.77K","3.78%"
"Jan 11, 2021","495.49","471.77","509.35","464.51","1.49M","-6.80%"
"Jan 08, 2021","531.64","565.07","568.66","513.32","1.65M","-0.77%"
"Jan 07, 2021","535.75","519.42","558.98","503.84","2.28M","11.49%"
"Jan 06, 2021","480.55","436.99","483.00","433.00","1.54M","12.11%"
"Jan 05, 2021","428.63","426.57","437.36","406.92","1.10M","0.80%"
"Jan 04, 2021","425.22","417.17","443.00","410.14","1.47M","9.44%"
"Dec 31, 2020","388.55","391.02","399.98","377.11","739.61K","-0.36%"
"Dec 30, 2020","389.97","379.50","399.00","371.00","935.24K","6.53%"
"Dec 29, 2020","366.07","368.50","370.41","344.00","735.17K","-1.06%"
"Dec 28, 2020","370.00","363.35","379.00","354.95","1.10M","14.69%"
"Dec 24, 2020","322.61","337.00","338.83","320.36","252.61K","-4.32%"
"Dec 23, 2020","337.18","334.61","343.00","325.51","594.06K","1.71%"
"Dec 22, 2020","331.50","325.72","335.58","320.50","642.18K","4.38%"
"Dec 21, 2020","317.60","296.02","321.95","296.00","712.91K","5.44%"
"Dec 18, 2020","301.20","295.00","304.00","287.17","1.32M","1.14%"
"Dec 17, 2020","297.80","320.28","321.89","294.00","1.25M","-0.44%"
"Dec 16, 2020","299.12","312.70","315.00","298.00","1.10M","4.66%"
"Dec 15, 2020","285.79","283.50","289.49","278.00","541.03K","2.24%"
"Dec 14, 2020","279.53","298.93","299.99","276.78","830.58K","-2.23%"
"Dec 11, 2020","285.92","289.95","295.25","279.44","375.88K","-1.52%"
"Dec 10, 2020","290.33","286.00","290.70","282.75","505.23K","1.44%"
"Dec 09, 2020","286.21","284.01","291.14","274.20","1.32M","-1.12%"
"Dec 08, 2020","289.45","315.20","315.20","288.20","1.49M","-13.91%"
"Dec 07, 2020","336.22","326.25","348.70","325.53","354.00K","2.51%"
"Dec 04, 2020","328.00","326.62","337.21","317.38","296.79K","-1.09%"
"Dec 03, 2020","331.60","328.00","332.46","322.15","254.41K","3.20%"
"Dec 02, 2020","321.32","323.00","329.74","311.02","408.09K","-0.83%"
"Dec 01, 2020","324.00","326.00","357.01","317.16","799.37K","-5.48%"
"Nov 30, 2020","342.77","300.30","347.50","299.00","1.53M","26.36%"
"Nov 27, 2020","271.26","255.00","280.00","253.51","561.90K","0.36%"
"Nov 25, 2020","270.27","254.30","277.22","252.02","885.11K","9.32%"
"Nov 24, 2020","247.23","223.00","248.67","223.00","1.12M","11.99%"
"Nov 23, 2020","220.76","227.00","227.00","214.37","201.03K","-0.61%"
"Nov 20, 2020","222.11","217.42","227.00","216.20","212.05K","2.30%"
"Nov 19, 2020","217.11","212.00","218.97","209.11","143.27K","1.95%"
"Nov 18, 2020","212.96","213.55","226.15","212.96","378.04K","2.29%"
"Nov 17, 2020","208.20","205.00","209.33","200.00","196.30K","2.09%"
"Nov 16, 2020","203.93","194.22","204.01","193.50","202.03K","6.06%"
"Nov 13, 2020","192.27","188.48","193.91","186.56","164.92K","2.85%"
"Nov 12, 2020","186.94","194.00","196.08","185.64","177.17K","-2.72%"
"Nov 11, 2020","192.16","188.16","193.22","187.25","133.04K","3.23%"
"Nov 10, 2020","186.14","184.58","189.69","184.00","169.55K","0.61%"
"Nov 09, 2020","185.01","183.99","187.27","181.74","310.89K","-0.33%"
"Nov 06, 2020","185.62","183.79","186.18","177.50","158.50K","2.17%"
"Nov 05, 2020","181.68","178.50","183.60","177.85","173.15K","5.30%"
"Nov 04, 2020","172.53","172.95","178.36","171.44","110.35K","0.34%"
"Nov 03, 2020","171.95","169.76","172.61","167.78","90.82K","3.23%"
"Nov 02, 2020","166.57","168.91","169.23","162.50","125.66K","-0.30%"
"Oct 30, 2020","167.07","161.96","167.25","159.54","236.07K","3.16%"
"Oct 29, 2020","161.96","162.39","167.07","161.73","183.39K","-0.12%"
"Oct 28, 2020","162.15","180.00","182.45","161.60","387.09K","-7.65%"
"Oct 27, 2020","175.58","173.32","178.57","173.00","170.67K","0.33%"
"Oct 26, 2020","175.00","184.48","187.00","172.53","168.81K","-5.05%"
"Oct 23, 2020","184.30","183.27","184.97","181.19","120.39K","0.68%"
"Oct 22, 2020","183.05","185.49","186.21","178.00","178.30K","1.10%"
"Oct 21, 2020","181.05","174.89","185.75","174.89","273.22K","7.09%"
"Oct 20, 2020","169.07","164.56","172.35","164.04","311.61K","3.00%"
"Oct 19, 2020","164.14","165.60","167.68","163.43","87.30K","-0.34%"
"Oct 16, 2020","164.70","165.98","167.36","164.69","38.49K","-0.77%"
"Oct 15, 2020","165.97","162.43","166.87","162.33","53.10K","1.05%"
"Oct 14, 2020","164.24","165.77","167.52","163.89","53.95K","-1.11%"
"Oct 13, 2020","166.08","165.60","166.54","164.03","58.56K","-0.23%"
"Oct 12, 2020","166.46","167.16","169.40","164.30","88.10K","1.05%"
"Oct 09, 2020","164.73","164.59","165.53","160.65","102.06K","0.48%"
"Oct 08, 2020","163.94","155.33","164.79","155.33","167.94K","7.09%"
"Oct 07, 2020","153.09","151.00","153.44","150.82","51.78K","2.03%"
"Oct 06, 2020","150.04","149.32","154.35","149.23","91.23K","1.23%"
"Oct 05, 2020","148.21","147.73","149.74","146.90","49.54K","1.19%"
"Oct 02, 2020","146.46","146.32","149.95","145.16","110.27K","-1.68%"
"Oct 01, 2020","148.96","150.66","152.71","148.55","69.41K","-1.06%"
"Sep 30, 2020","150.56","150.22","153.07","149.86","82.38K","0.58%"
"Sep 29, 2020","149.69","150.67","151.10","148.08","62.40K","-1.17%"
"Sep 28, 2020","151.46","148.45","153.41","148.45","144.40K","3.65%"
"Sep 25, 2020","146.13","146.17","146.96","144.99","169.27K","0.05%"
"Sep 24, 2020","146.06","147.38","148.06","144.60","122.10K","-1.50%"
"Sep 23, 2020","148.28","153.80","154.77","148.11","111.44K","-3.87%"
"Sep 22, 2020","154.25","153.37","154.65","149.39","89.66K","1.37%"
"Sep 21, 2020","152.16","157.70","157.70","149.21","159.70K","-4.66%"
"Sep 18, 2020","159.59","165.52","166.17","157.44","346.97K","-2.46%"
"Sep 17, 2020","163.61","173.40","173.40","162.59","179.74K","-6.46%"
"Sep 16, 2020","174.90","160.99","176.25","160.99","459.67K","12.30%"
"Sep 15, 2020","155.75","145.00","155.99","143.81","262.07K","9.21%"
"Sep 14, 2020","142.62","141.63","143.04","140.21","69.38K","1.06%"
"Sep 11, 2020","141.13","140.87","141.40","138.84","116.40K","1.01%"
"Sep 10, 2020","139.72","141.72","143.09","139.44","145.41K","-1.01%"
"Sep 09, 2020","141.15","139.83","142.35","139.00","77.64K","1.68%"
"Sep 08, 2020","138.82","140.61","143.15","138.82","86.75K","-2.37%"
"Sep 04, 2020","142.19","144.41","144.41","136.89","124.83K","-1.45%"
"Sep 03, 2020","144.28","148.75","148.75","143.91","75.99K","-3.81%"
"Sep 02, 2020","150.00","148.46","151.23","147.74","100.48K","0.79%"
"Sep 01, 2020","148.82","145.01","149.10","145.01","86.35K","3.03%"
"Aug 31, 2020","144.44","147.26","147.96","143.99","80.28K","-1.67%"
"Aug 28, 2020","146.89","147.49","150.46","146.68","83.86K","0.25%"
"Aug 27, 2020","146.52","147.33","147.62","144.14","76.09K","0.31%"
"Aug 26, 2020","146.06","148.68","148.96","145.76","82.00K","-0.61%"
"Aug 25, 2020","146.96","148.70","150.29","146.55","116.46K","-1.09%"
"Aug 24, 2020","148.58","146.50","149.28","145.36","87.98K","2.41%"
"Aug 21, 2020","145.08","144.40","145.92","143.54","73.46K","0.65%"
"Aug 20, 2020","144.14","141.75","145.06","141.75","100.67K","1.74%"
"Aug 19, 2020","141.67","143.39","143.39","139.71","156.01K","-1.03%"
"Aug 18, 2020","143.14","144.44","145.98","141.75","121.80K","-0.49%"
"Aug 17, 2020","143.84","149.00","151.28","142.45","229.51K","-1.90%"
"Aug 14, 2020","146.63","137.62","146.75","137.50","285.79K","7.03%"
"Aug 13, 2020","137.00","138.48","139.35","136.85","75.13K","-0.03%"
"Aug 12, 2020","137.04","135.87","140.20","135.87","180.72K","1.59%"
"Aug 11, 2020","134.89","141.99","145.43","134.79","333.88K","9.12%"
